Fon_Sentence,French_Translation
etɛ mí na nu,qu'allons-nous boire
etɛ é na nu,que va-t-il boire
kútɔ́nú,cotonou
etɛ́ wá gbé w'ɛ́ yì ɖò,qu'est-il allé faire au
etɛ́ wá gbé w'ɛ́ yì ɖò,qu'est-il allée faire au
etɛ́ wá gbé mi xwé yì ɖò,qu'allez-vous faire à
fí ɖĕe un xwe ɔ́,là où je vais
fí ɖĕe é xwe ɔ́,là où il va
fí ɖĕe mí xwe ɔ́,là où nous allons
fí è un na zún dó é ba wɛ un ɖè,je cherche où aller
fí è mi na zún dó é ba wɛ un ɖè,vous cherchez où aller
fí tɛ́ a wă yì,où es-tu allé
fí tɛ́ é wă yì,où es-t-elle allé
fí tɛ́ mì wă yì,où sommes-nous allés
fitɛ é xwe,où vas-t-il
fitɛ é xwe,où vont-t-ils
fitɛ mi xwe,où allez-vous
fítɛ́ tɔ́ towé ká yì,où est allé ton père
hwenu ɖò dìndín dó wé wɛ̀,nous allons être en retard
hwetɛnu a yi azɔmɛ,quand es-tu allé à l'école
hwetɛnu é yi azɔmɛ,quand est-il allé à l'école
hwetɛnu é yi azɔmɛ,quand sont-ils allés à l'école
hwetɛnu mí yi azɔmɛ,quand sommes-nous allés à l'école
paraku,parakou
jĭ ɖò nà já wɛ̀,il va pleuvoir
lanmɛ ce yá ă,je ne vais pas bien
ma yì xwé,je m'en vais à la maison
mi na yi,nous irons
mì ná yí nɔ yɛtɛ̀n,nous allons nous mettre à l'ombre
mi na yi,nous irons à
mì nú má yì,allons
kɔfo,verre
mi yi yewunkonnyɛɖowutɛn a,nous ne sommes pas allés au cinéma
sɛ̀ sín fínɛ́,va-t-en
un ɖo ganji,je vais bien
agbŏmɛ̀,abomey
un dó kɛkɛ́ yi,je suis allé à moto à
un fɔn ganji,je vais bien merci
un na kpé nukún wú,je vais m'en occuper
gbɔxíkɔ̀n,bohicon
un wá yi kɔvɛ̀,je suis allé à covè
un xwè nɔ ce gɔ́n,je vais chez ma mère
un xwè xwé gbè,je vais à la maison
un yi dɔn ɖáyi,j'étais allé là-bas
yè ná yì,ils iront
yè yí sá xwé ɖò kútɔ́nú,ils sont allés s'établir à cotonou
alɔ,bras
mi dlɛ̆n,allongez
alɔ towé,ton bras
xuta,plage
mí ɖo mí ɖe dlɛn ɖo xuta nyɛkɛn mɛ,nous nous allongeons sur le sable de la plage
yă wŭ ɖi zɔnlìn,allonge le pas
zogbɛ́n lɛ́ tá à,les phares sont-ils allumés
un ɖo fɔfi,j'ai des allumettes
é nɔ kùn mɔ̆tò vuù,il conduit sa voiture à vive allure
bo un gbo do hun yi azomɛ,alors je suis allée à l'école en bus
xo wɛ ɖo nu cè hwenɛ́nu,j'étais alors enceinte
yiyi wɛ jɛ́n á kó ɖè nɛ́ à,alors tu t'en vas déjà
blo xwe ɔ,arranges la maison
kponɔ lɛ́,les gendarmes
kplá,amènes
a na kpl'ɛ́ wá nú mì,tu me l'amèneras
etɛ́ dɔ́n wé wá,qu'est-ce qui t'amène
etɛ́ dɔ́n mì wá,qu'est-ce nous amène
mi kpla wa ɖo gan tantɔn mɛ zanzan,amenez-la vers huit heures demain
nɛ̆ gbɔ̀n,qu'est-ce qui t'amène
azinzɔnnɔ ɔ ɖo amasin vɛsɛvɛsɛ nu wɛ,le malade boit une tisane amère
remi ya vi tawun,rémi pleura amèrement
yè fɔ́n tomɛnu lɛ́ dó jĭ tɔ̀n,ils ameutèrent les habitants contre lui
mì nà húzú xɔ́ntɔ̀n,nous allons devenir amis
nɔ ce sin xɔntɔn,un ami à ma mère
un jlo ná zùn xɔ́ntɔ́n xá wè,je voudrais être ton amie
un xwe xɔntɔn ce lɛ gɔn,je vais chez mes amis
xɔntɔn ce wɛ,c'est mon amie
gbedido xɔntɔn tɔn,un bonjour amical
é d'alɛ̀ wŭ cè,il a violé notre pacte d'amitié
xɔ́ntɔ́n nyɔ́,l'amitié est une bonne chose
e ɖo wanyiyi nu asi tɔn,il a de l'amour pour sa femme
asibá,assiba
e ɖo wànyìyí nú,il est amoureux de
e ɖó wànyìyí nú,elle est amoureuse de
e yí wàn nú,elle est amoureuse de
un ɖo wànyìyí nú,je suis amoureux de
un ɖó wànyìyí nú,je suis amoureuse de
un yí wàn nú,je suis amoureuse de
é d'áwù zɛɛ̀,elle a mis robe très ample
alɔ ce ɖó zosin,j'ai des ampoules aux mains
e hwɛ́n,il est amusant
é hwɛ́n tó cè,c'est amusant
un mɔ ɖɔ ayihun nu wɛ,je trouve que c'est plus amusant
mi d'ayihun ganji,amusez-vous bien
vi lɛ yi wan nu d'ayihun,les enfants aiment s'amuser
eo un ɖo xwe tɛnwe,non j'ai sept ans
un ɖó xwé kó,j'ai vingt ans
un tuun n'i ɖo xwe tantɔn ɖie,il y a huit ans que je le connais
xwe kpíkpé,le nouvel an
xwè yàɖéyaɖé,le nouvel an
e ɖà hun cè,on a analysé mon sang
e gbɛ agɔnde lɛ bo bɛ yi aximɛ,les ananas furent cueillis et portés au marché
un na xɔ agɔn ɖokpo,j'achèterai un ananas
heelú n'í,qu'il soit anathème
dòkó tówè,tes ancêtres insulte
mì kplé ká nú mɛxó lɛ́,on a donné à manger aux ancêtres
dàgbo ce lɛ,mes ancêtres
dàgbo tɔn lɛ,ses ancêtres
dàgbo mìtɔn lɛ,nos ancêtres
bɛnɛ́,bénin
e ji mi ɖo,je suis néé
hɛnnumɔ tɔn ɖo xo hu ce,sa famille est plus ancienne que la mienne
dɔkun ɔ́ bì vívá,toute la fortune est anéantie
é jɛ̀ vɛ̀súvɛ́sú,il a une angine
axi ɔ́ jɛ̀,le marché est animé
afɔ ce blá,mon pied est ankylosé
é ɖie mama xwe ɔ ni nyí xwesi nú mĭ bi,maman bonne et heureuse année à nous tous
kú dó xwè yɔ̀yɔ́,bonne année
mì fó xwè,nous avons fini l'année
sun wewe wɛ ɖo xwe ɖokpo mɛ,une année compte douze mois
xwe ɖokpó hwà ɖokpó,bonne année
xwemɛ xwemɛ̀,chaque année
xwe ɖokpó hwà ɖokpó,bon anniversaire
é yì fí ɖagbe,c'est ainsi qu'on annonce la mort d'un varioleux
un wá dó wɛn nú wé ɖɔ̀ é kún ná wá ó,je viens t'annoncer qu'il ne viendra pas
e gbídí hwɛ ɔ́,il a annulé le jugement
e gbɛ́ wàn nú mì,il a de l'antipathie pour moi
e nɔ́ mɔ́ mí gbɔ̀ ă,je lui suis antipathique
ayi tɔn j'àyí ă,il est anxieux
azɔn ɔ húhwɛ́ nú mì,la maladie s'est apaisée pour moi
enɛ́ ɔ́ fá xomɛ nú mì,cela m'a apaisé
wùvɛ́ éé mɔ́ wɛ̀ mì ɖé ɔ́ jɔhon gbɔn mɛ̀,notre souffrance s'est apaiséé
a mɔ ɖó mɔ̆ à,t'es-tu aperçu de cela
un mɔ ɛ̀ sɛ́ dó,je l'ai aperçu de loin
un mɔ mi sɛ́ dó,je vous ai aperçu de loin
un mɔ wé sɛ́ dó ɖ'alixò,je t'ai aperçu sur le chemin
é mɔ wé sɛ́ dó,il t'a aperçu de loin
é mɔ ɛ̀ sɛ́ dó ɖ'alixò,il l'a a aperçu sur le chemin
é mɔ mi sɛ́ dó ɖ'alixò,il vous a aperçu sur le chemin
mí mɔ mi sɛ́ dó ɖ'alixò,nous vous avons aperçu sur le chemin
e gbígbá ayìkúngban,on a cassé le terrain
ayìɖóhwɛɖó ɖò nù wá wɛ̀,l'arc-en-ciel est apparu
e jlɛ́ kwɛ́,il a fait apparaître de l'argent
sun lín,la lune est apparue
e vá dó wú yè,il leur est apparenté
xɔnɔnɔmɛ̀,chambre à coucher
mɛ tɔ́n wɛ̀,a qui cela appartient-il
un na ylɔ́ nyikɔ́ lɛ́,je vais faire l'appel
azan ɖevo gbe ɔ tɔ tɔn wa ylɔ ɛ bo ɖɔ n'i ɖɔ,la semaine suivante son père l'appela et lui dit
e ɖo nɔ tɔn ylɔ wɛ,il appelle sa maman
é nɔ nyi,il s'appelle
wa ylɔ e,l'appela
un nɔ nyi,je m'appelle
vĭ towé,ton enfant
vĭ yétɔn,leur enfant
vĭ yétɔn,leurs enfants
unglɛsia,l'anglais
wà dó tɛɛtɛ́ nú vì ɔ́,viens apprendre à marcher à l'enfant
un yí azɔ̀ví yɔ̀yɔ́,j'ai engagé un nouvel apprenti
e ɖò azɔ̀ kplɔ́n xɔ́'sá,il est en apprentissage
é sɔ́ nŭ bó ɖò cɛ́ɛ́,il s'est bien apprêté
alɔ towe ɖíè,"bravo, mes félicitations"
é sɛ́ yá bì kɛ́nnɛ́kɛ́nnɛ́,il s'approcha tout près
mɛɖé kánbyɔ́  gbe ɖokpó ɖɔ̀,"un jour, un homme s'approche de  et lui demande"
mì kó sɛ́ kpɔ́,nous approchons de porte-novo
xwe ɖò sisɛ yá wɛ,la fête approche
e gɔ́ngɔ́n do ɔ́,il a approfondi le puits
é klá jɛ̀ xwé ɔ́ nú,il s'est approprié la maison
un ɖò é tɔ́n jí,je l'approuve
é ɖò gblŏlŏ mɛ̀,il est sans appui
hlɔ́nhlɔ́n mitɔ́n,notre force
e ɖo te alɔ ɖo zɛnzɛn ɖo kpo ji,il se tenait debout la main appuyée sur une canne
un gán dó wùtú tɔ̀n,je m'appuie sur lui
akánmú wlí ɖɛ̆,la potasse est âpre
amɔ e ya ɔ un ɖo na wa azɔ ce lɛ e nɔ ci kɔ,mais après je dois faire mes devoirs c'est épuisant
azan tantɔn gbe gudo ɔ,après huit jours
de e yi xo gudo e jujɔn ayi,après avoir pris la parole il se rassit
e nɛ ɔ gudo ɔ,après cela
e ya ɔ na ɖɔ nu we,je te le dirai après
ee a wa fí gúdó ɔ́,après que tu sois venu ici
enɛ́ gúdó ɔ́,et après
nuɖuɖu gudo,après le manger
wa ɖu nu e ya ɔ a na fo,viens manger tu finiras après
zanzan nuɖuɖu gudo,après déjeûner
ku do hwemɛ,bon après-midi
un na wá hwelɛ́kɔ̀,je viendrai dans l'après-midi
a ko sú aziín ɔ́'xɔ́ à,as-tu payé les arachides
atin ɖagbe,un bel arbre
e xá atín ɔ́ jí,il est monté sur l'arbre
ayìɖóhwɛɖó ɖò nù wá wɛ̀,l'arc-en-ciel s'est levé
e hɛ̀n azɔ̀ ɔ́ cɔ dà,il a ralenti l'ardeur du travail
a ɖo akwɛ a,tu n'as pas d'argent
co bɔ ka mɔ kwɛ a,pourtant il n'a pas eu d'argent
e ná wá ɖó akwɛ gege,il finira par avoir beaucoup d'argent
enyi  w'azɔ ɔ e na mɔ kwɛ,si  travaille il aura de l'argent
enyi a w'azɔ ɔ e na mɔ kwɛ,si tu travaille tu auras de l'argent
enyi é w'azɔ ɔ e na mɔ kwɛ,si ils travaillent ils auront de l'argent
enyi é w'azɔ ɔ e na mɔ kwɛ,si elles travaillent elles auront de l'argent
enyi mí w'azɔ ɔ e na mɔ kwɛ,si nous travaillont nous auront de l'argent
nu ye ɖo kwɛ ɔ,quand ils ont de l'argent
un mɔ̀ akwɛ́ ă,je n'ai pas d'argent
un ta gbavinukpɛnnɔ hwenu ɖe heros ɔ ɖo tu ɖe hu mɛ ɔ ba wɛ ɔ,j'ai allumé la télévision au moment où le héros cherchait l'arme du crime
asá tɔ́n gbándán,il a les jambes arquées
é d'álɔ ɖa tɔn mɛ̀ bo hɛ̀n dagbe gaga ɖokpó bó sun fawùn,elle mit la main à ses cheveux et en pris un beau grand et l'arracha d'un coup sec
e gbì wèmá ɔ́ yí,il m'a arraché le livre
é sà wùn mí kpówún wɛ̀,il me l'a arraché comme ça
e wá xò awu ce sɔ́ béwún,il est venu m'arracher ma chemise d'un seul coup
é yí í d'ásí ce gannugánnú,il me l'a arraché de force
jɔhon nɔ sun ama lɛ bo nɔ ya ye ɖo ali ji,le vent arrache les feuilles et les chasse dans le chemin
kisɛ́kísɛ́ nɔ́ vé xwà,la marque est difficile à arracher
nùɖé sɔ́ ná xò yè yí sín alɔ ce mɛ̀ ă,rien ne pourra plus les arracher de ma main
yé ná hɔn atinta sin gle mɛ,ils arracheront une souche du champ
kɛkɛ́ ɔ́,le vélo
e bló kɛkɛ́ ɔ́ ɖó,il a arrangé le vélo
yè bló xɔ̀ ɔ́ ɖó alɔkpa ɖĕvò jí,ils ont arrangé la maison d'une autre façon
é nɔ́ ɖɔ xó suù,il parle sans arrêt
e w'àzɔ̌ ma ɖ'álɔ te káká bɔ̀ zàn kú,il a travaillé sans arrêt jusqu'à la nuit
nyaví ɛ́ ɖ'azɔ̀ wá wɛ magbokɔ̀,cet enfant travaille sans arrêt
yĕ ɖò nù kó wɛ̀ soò,ils rient sans arrêt
cí ladyó ɔ́,arrête le poste de radio
ɖò é te nú mì,arrête-le pour moi
ɖo gan wewe mɛ ɔ azɔ nɔ nɔ te,à midi le travail est arrêté
e do kpɔn ɖɔ mi ni nɔ te,il a suggéré que nous nous arrêtions
e gbɔ̀n  dín,il est passé par  sans s'arrêter
e nɔ nu azɔ gege d'ayi amɔ e o jo do,il fumait beaucoup mais il a arrêté
hùn ɔ́ nɔ te ɖò agbăsa ɔ́ tó,la voiture s'est arrêtée au bord de la route
mi ɖ'álɔ tè,arrêtez le travail
mì ná nɔ te ɖò fí,nous nous arrêterons ici
yè wlí ì bɔ̀ é jɛ̀ glŏjò,ils n'ont pas pu l'arrêter
xwé gúdó,l'arrière de la maison
ee un wá tlóló ɔ́ un yi kpɔ́n ɛ̀,dès mon arrivée je suis allé le voir
bo é ɖó xwé gbé,et il etait à la maison
pyɛ,pierre
a jàwé à,es-tu en route
a jɛ finɛ ɔ mɛ lɛ na xlɛ we gletoxo ɔ,"arrivé là, les gens te montreront le village"
a na sìxú bló à,est-ce que tu y arriveras
aní ká jɛ̀,qu'est-il arrivé
awovi ɖokpo yawun jɛ,un accident est si vite arrivé
din tlóló é wá,il vient d'arriver
e ɖò nù é ná jɛ́ ɔ́ kpɔ́n wɛ̀,il regardait ce qui allait arriver
e jăwè,il arrive
e ká tuùn nŭ é ɖò na x'ɛ́ wɛ́ ɔ́ à,savait-il ce qui allait lui arriver
e ko wa ă,il n'est pas encore arrivé
e wa kpodo eyɛ kpo à,est-il arrivé avec lui
ee é jɛ̀ fínɛ́ ɔ́ é ɖɔ́ nú yĕ ɖɔ̀,arrivé sur place il leur dit
etɛ́ é jɔ̀,qu'est-ce qui arrive
lazáà,lazard
gbè ɖokpó ná wá sù,il arrivera un jour
glexwe,ouidah
tɔn lɛ na wa ɖo zan ɖe,ceux de  arriveront bientôt
hwe ce hùn,ma chance est arrivée
hwenu ɖee  wa ɔ mi bi ɖo fi,quand  est arrivé nous étions tous ici
hwenu tɔn ko sù,son temps est arrivé
kɛkɛ́ ja,un vélo arrive
ɖi ɖɔ  wa,croit que  est arrivé
mɔ̆to ja,une voiture arrive
gbɔ̀xíkɔ̀n,bohicon
mi na ɖu nu nu ɖɔ e wa ɔ,nous allons manger s'il arrive qu'il vient
nù bá mì,qu'est-ce qui m'est arrivé
pipan,un train
un jawé,j'arrive
é jawé,elle arrive
zanjɛ́nnádó,zagnanado
un jawe,j'arrive
un sixu ɖo xo ɖɔ wɛ a,mais je n'arrive pas à parler
yè kpé wú ă,ils n'ont pas pu y arriver
zaanɖe jɛ́n un ɖu nù b'ɛ́ wá,j'avais à peine fini de manger qu'il est arrivé
e nɔ́ kán gbé nú mɛ,il est arrogant
e nɔ́ kán gbé nú mɛ,elle est arrogante
jimakplɔ́n,arrogante
hŭ sìn nú atín lɛ́,arrose les arbres
maglelɛtɔ ɔ ɖo sin hu nu salada ama tɔn lɛ wɛ,le jardinier arrose ses salades
xú cé ɖɔ̀ nù klɛ́wún,mes articulations ont craqué
tɛ̀ ɖɛ̀ jí bó ɖɔ̀ ganjí,articule bien
hanjitɔ wɛ,elle est artiste
ninɔmɛ tɛ́ é ɖó,quel aspect a-t-il
gbɔ̀n nŭ gègé'linu,sous beaucoup d'aspects
đadónú kpé ă,cela manque d'assaisonnement
é sɔ́ éɖéé xlɛ́ agun ɔ́,il s'est présenté à l'assemblée
jìnj'ányĭ,assieds-toi
wa jínjɔ́n akpá cè,viens t'asseoir à côté de moi
jìnjɔ́n azinkpo jí,assieds-toi sur la chaise
a ɖo gege à ye,n'en as-tu pas assez
e ɖi kɔ̀ nú mì ă,je n'ai pas assez bu
e kpé,s'en est assez
e kpéké kɔ̀ nú mì,j'en ai assez
e nylá bĭ ă,c'est assez bien
gbavinukpɛnnɔ sin agbo kpe mi,j'ai en assez de la télévision
un nɔ mɔ̀ nŭ wliwlì,je ne vois plus assez clair
wa bo klɔ agban elɔ lɛ nu mi,viens et lave-moi ces assiettes
a na nɔ kplekple ɔ tɛnmɛ à,est-ce que tu assisteras à la réunion
e sixu sɔ mɛɖe do gbɛdemɛ gannu gannu ă,nul ne peut être obligé de faire partie d'une association
mi ná nɔ̀ kpɔ́ b'á wà nŭ,nous allons nous associer pour faire cela
amlɔgɔ́ nɔ́ sín mì,je m'assoupis
un ɖò amlɔgɔ́ sa wɛ̀,je m'assoupis
un ɖɔ e ku wa o,je t'assure qu'il n'est pas venu
é jɛ gbɔxíí,il a de l'asthme
cuku hunnylatɔ lɛ ɖo sinsin,les chiens méchants sont attachés
amĭsà,la messe
mì tlɛ́ dó mìɖéé wú syɛńsyɛ́n,nous sommes très attachés l'un à l'autre
un kéyà ná ă,je n'y attache pas d'importance
ahwangbomɛ,attaque à main armée
wù má yá wé à,est-ce que tu te sens d'attaque
wù yá mì ă,je ne me sens pas d'attaque
e dlɔ́n kpé mì,il m'a attaqué
a ɖo te kpɔn e,tu l'attends
ani nɔ te kpɔ́n wɛ a sɔ́ lɛ́ ɖè,qu'est-ce que tu attends encore
ká yí gbe nú nukúnɖúɖó tɔ́n à,a-t-il répondu à son attente
mɔlikun ɔ,le riz
ɖu,manges
é cyɔ́ dó mì,je ne m'y attendais pas
é ɖo te kpɔ́n wè,il t'attend
é fyán mì,je ne m'y attendais pas
e wɛ̀ un ɖò te kpɔ́n,c'est lui que j'attends
nɔ te a,n'a pas attendu
é xwe,il allait à
é xwe,elle va à
é hú găn mì,c'est au-dessus de mes forces
ma ze wemaxixa enɛ ɔ o ze ɖe ɖo aga ɔ,"ne prends pas ce livre, prends celui qui est au-dessus"
akwέ jὲ gbadé jí ɖ'aximὲ,le maïs a augmenté au marché
e dó kwέ gbadé jí,on a augmenté le prix du maïs
akwέ jὲ nŭ bì jí,les prix augmentent
degɔn ɖe egbe ă,il n'y a pas de crevettes aujourd'hui
etɛ a ɖu egbe,qu'as-tu mangé aujourd'hui
nɛ gbe ɔ mɛ ɖe gbɔn egbe,comment est le temps aujourd'hui
súnnu din tɔn lɛ́,les hommes d'aujourd'hui
un kɔn nyì jì tówé égbé,je suis venu à toi aujourd'hui
ali ɖo dindin wɛ egbe ă,il n'y a pas de circulation aujourd'hui
egbe wɛ nyi hunjlo,aujourd'hui c'est le jour de marché hunjlo
karen ɖo fi egbe a,karen n'est pas là aujourd'hui
un nu sìn éhɔ́nmɛ́,j'ai bu de l'eau aujourd'hui
e ɖò xwé ɔ́ kpá,il est auprès de la maison
é sɔ́ azɔn ɖò nyɔ̀nú kɔ̀n,il a attrapé une maladie auprès d'une femme
mɛ̌si gɔ́n un ɖé à cé,est-ce que je ne suis pas auprès du maître
wă akpá cè,viens auprès de moi
ayìhínhɔ́n ɖò yiya wɛ̀,l'aurore est proche
kokló kɔ́ asì,a l'aurore
a blò ɔ́ gɛ́gɛ́ a lɛ̆ gɔ̀n bló ɔ́ gɛ́gɛ́,tant mieux si tu le fais ou pas
blo dɛdɛ nyɛ ɖesu un nɔ hɛn nu do tamɛ ɖi hwɛ ɖɔhun,fais attention j'ai une aussi bonne mémoire que toi
é ɖɔ̀ mɔ̀ lɔ́ à,il a dit cela aussi
e hwé sɔ ɛ̀ ă,il n'est pas aussi petit que lui
eyɛ ɖesu,lui aussi
à,tu
é,elle
klo  ɖɔhun,est aussi grosse que
klo sɔ  ă,n'est pas aussi grosse que
atavi ce,mon oncle
mɛ elɔ ɔ,celle-là
mi ze gbeta ɖɔ miɖee lɛ ɖesu na yi,nous avons décidé d'y aller aussi
nɔví cé mɔ̀ké,mon frère aussi
nyɛ lɔ́,moi aussi
nyɛ lɔ̀ mɔ̀ ké,moi aussi
sinnu ɖesu gbla sin mi,et puis j'ai soif aussi
towe jăwè,cela t'arrivera aussi
e jɛ azɔ ji azɔn ɖokpo,il se mit aussitôt au travail
a na o gɔn ahan nu sɔ mɔ,tu n'aurais pas dû boire autant
un ɖó sɔ ɛ̀ ă,je n'en ai pas autant que lui
un ɖó sɔ̀ mɔ̆ ă,je n'en ai pas autant
nya élɔ́ fɔnnù adodwé wɛ̀,cet homme est un fon authentique
nu ji ɔ nɔ te o mi hɛn ɔ mi na tɔn,si la pluie s'arrête vous serez autorisés à vous déplacer
a nɔ ɖɔ xó kpódó acɛkpikpa kpán,tu parles avec autorité
é ɖó acɛ dó jĭ tɔ̀n,il a autorité sur lui
é wɛ́ ɖò tatɔ́ ɖò fínɛ́,c'est lui qui a autorité ici
blă wɛ̀n lɛ́ lɛ̀ dó kpá ɔ́,attache les traverses autour de la clôture
e lílɛ́ dó xwé ɔ́,il a tourné autour de la maison
lɛ̆lɛ̀ dó tò,autour du village
yĕ ɖu wè lɛ̌ lɛ dó vodún,ils dansèrent autour du vodoun
yè nɔ̀ lɛ́ dó to ɔ́,ils tournent autour du village
aɖu ko nu xomɛ ɖo vo,les dents rient mais autre est le ventre méfiez-vous des apparences
azàn ɖĕvo gbè,un autre jour
bɔ fitɛ koklosi ɖevo enɛ ɔ gosin,et d'où est venue cette autre poule
đĕvo nɛ́,voilà autre chose
đĕvo wɛ̀,c'est une autre chose
e cí mɛ ɖè lɛ́ ɖɔ́hún ă,il ne ressemble pas aux autres
xɔ,achètes des
tà,allumes
ku,est mort
xa,avec
ví,enfant
sɔ,demain
nu,bouche
ɖa,cheveux
ɖɛ,langue
xú,os
lo,crocodile
xu,mer
tɔ,fleuve
so,montagne
ji,pluie
kɔ,sable
ji,sur
bă,fouet
wa,viens
abă,bras
abí,ou bien
abí,n'est-ce pas
afú,brimade
agà,en haut
ajì,tactique de jeu
ajo,fraude
ajo,arnaque
alì,chemin
ali,chemin
alò,cure-dents
amì,huile
asì,epouse
atá,haricots fris
avĭ,larmes
awă,joie
awù,vêtement
axó,cri
ayì,pensées
ayì,idée
azĕ,sorcellerie
azé,maléfice
azé,magie noire
azɔ,travail
aɖò,urine
aji,affaire
nyɔ̆nù,femme
asi,épouses
éyi,est parti
éyi,est partie
aɖi,le savon
ayi,es-tu allé au
ayi,es-tu allée au
aɖo,es-tu
klo,gros
tii,thé
awu,habits
gbɔ,arrêtes
sɔ́,choisis
mɛn,une personne
zan,nuit
xwé,année
gan,fer
asa,cuisse
abɔ,épaule
asa,jambe
alɔ,main
hɔn,nombril
afɔ,pied
dɛn,sueur
ase,chat
kpɔ,léopard
gbɔ,mouton
dàn,serpent
ato,singe
kpo,bâton
ama,feuille
gbé,herbe
gbè,vie
sεn,la loi
hun,engin
ali,la route
éya,ça y est
ablù,obscurité
adăn,fureur
adiì,mais hélas
adŭn,saleté
agùn,foule
agùn,assemblée
ahàn,boisson
akán,charbon
akpá,à côté
akpà,promesse
akpà,plaie
akpé,brillant
akpò,colère
alĭn,foie
alĭn,bêche
atàn,vin palme
awii,chat
axwá,appel au secours
azwì,lièvre
kpεn,sont lourdes
wewe,blanc
wiwi,noir
fifa,froide
amɔn,fromage
gege,beaucoup de
gege,assez de
gaga,long
gaga,longs
xixa,crochue
azɔn,la maladie
ablo,as-tu fais
miyi,êtes-vous allés au
miyi,êtes-vous allées au
miɖo,aillez
miɖo,êtes-vous
vivε,douleur
xoxo,vieux
xoxo,vieilles
hwla,est caché
ɖeji,sois confiant
ɖaxo,grand
mizé,prenez
a nù,tu as bu du
a nù,tu as bu
wíwi,noire
yóvo,un blanc
odjé,surprise incroyable
odjé,oh
mahu,noù de dieu
mɛwɛ,c'est qui
jiji,originaire de sègbohouè
tévi,igname
dotɛ,gingembre
azan,jour
cɛju,minute
atan,barbe
taka,cerveau
yonu,fesses
koli,genou
anyu,peau
fijo,poumon
fojo,poumon
mami,ride
wiin,abeille
cuku,chien
agbe,écureuil
bésé,grenouille
xɛvi,oiseau
asan,sangsue
atin,arbre
atin,bois
zozo,chaleur
xuto,plage
wɛkɛ,terre
kɔfu,verre
wiwi,noir
keze,journée
doto,docteur
nuti,rien
babá,la boue
wafi,viens ici
acívi,cuillère
acɔcì,langouste
adaká,méchanceté extrême
adaɖé,moitié
aditì,très impressionnant
adɔgò,ventre
aféfé,couleur bleue
afɔgà,enjambée
afɔkú,défaveur
afɔsú,orteil
agadá,plaie
agàsá,crabe
agaví,bâtard
agbàn,colis
agbàn,marchandise
agbĭn,sorte escargot
agblò,grande cour
aglwí,cuiller bois
ahizì,manigance
ahwàn,guerre
ahwàn,groupe
ajakà,souris
ajijá,porc-épic
ajijì,subitement
ajɔnú,objet de joie
akasá,pâte de maïs fermenté
akóbá,affaire
akplă,gaule
